id,ship_type,date,lon,lat
1488,TIE Fighter,2019-09-22 12:00:00,-19.9483455,27.557957
1489,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9491835,27.555735
1490,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9527935,27.553476
1491,TIE Fighter,2019-09-22 12:00:00,-19.9503145,27.55295
1492,TIE Fighter,2019-09-22 12:00:00,-19.9510505,27.552831
1493,TIE Fighter,2019-09-22 12:00:00,-19.9458895,27.552164
1494,TIE Fighter,2019-09-22 12:00:00,-19.9501495,27.552063
1495,TIE Fighter,2019-09-22 12:00:00,-19.9509055,27.551944
1496,TIE Fighter,2019-09-22 12:00:00,-19.9489485,27.551058
1497,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9453105,27.549922
1498,Civilian Star Shuttle,2019-09-22 12:00:00,-19.9353655,27.548819
1499,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9284265,27.532813
1500,Civilian Star Shuttle,2019-09-22 12:00:00,-19.9274295,27.531785
1501,TIE Fighter,2019-09-22 12:00:00,-19.9288845,27.53162
1502,TIE bomber,2019-09-22 12:00:00,-19.9280285,27.530504
1503,TIE Fighter,2019-09-22 12:00:00,-19.9259935,27.530268
1504,TIE bomber,2019-09-22 12:00:00,-19.9271105,27.528803
1505,TIE bomber,2019-09-22 12:00:00,-19.9259345,27.527901
1506,TIE bomber,2019-09-22 12:00:00,-19.9273875,27.527459
1507,TIE bomber,2019-09-22 12:00:00,-19.9261875,27.526587
1508,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9228105,27.522268
1509,TIE Fighter,2019-09-22 12:00:00,-19.9163445,27.520921
1510,TIE Fighter,2019-09-22 12:00:00,-19.9156105,27.52085
1511,TIE Fighter,2019-09-22 12:00:00,-19.9209045,27.519839
1512,TIE Fighter,2019-09-22 12:00:00,-19.9178715,27.519285
1513,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9192575,27.518225
1514,TIE Fighter,2019-09-22 12:00:00,-19.9188755,27.517455
1515,TIE Fighter,2019-09-22 12:00:00,-19.9152675,27.517196
1516,TIE Fighter,2019-09-22 12:00:00,-19.9148915,27.516626
1517,TIE Fighter,2019-09-22 12:00:00,-19.9181575,27.516527
1518,TIE Fighter,2019-09-22 12:00:00,-19.9478165,27.548685
1519,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9491355,27.547069
1520,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9457075,27.546896
1521,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9374335,27.543377
1522,TIE bomber,2019-09-22 12:00:00,-19.9317035,27.534422
1523,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9332525,27.53433
1524,Imperial SpaceShuttle,2019-09-22 12:00:00,-19.9325035,27.533172
1525,TIE bomber,2019-09-22 12:00:00,-19.9309765,27.532936
1526,TIE Fighter,2019-09-22 12:00:00,-19.9182875,27.51672
1527,TIE Fighter,2019-09-22 12:00:00,-19.9154625,27.516336
1528,TIE Fighter,2019-09-22 12:00:00,-19.9171335,27.516159
1529,TIE Fighter,2019-09-22 12:00:00,-19.9177965,27.516102
